,price,percent_change,market_cap,vol_24h,id
MATRIX,0.064582,-7.30991,1047393,11109.8,matrixswap
DEXTF,0.04943227,0.0,1046481,0.0,dextf
MABNB,179.91,-2.35593,1043489,53138.0,mirrored-airbnb
TERA,0.00150521,-31.82258,1041018,1450.19,tera-smart-money
ITS,22.66,10.74638,1040177,4474.33,iteration-syndicate
ONG,0.01132895,0.0,1039950,0.0,somee-social-old
UFARM,0.01232874,-0.85748,1035599,12541.19,unifarm
AGA,0.229693,-4.27527,1032240,5861.74,aga-token
AVXT,6.13,-3.3979,1029572,26193.0,avaxtars
ASAP,0.056848,-1.22335,1028882,24572.0,chainswap
CRE8R,0.367522,4.50299,1028720,21323.0,cre8r-dao
EXRT,0.0023339,,1026550,0.0,exrt-network
CRD,0.00212983,0.0,1025025,0.0,crd-network
JADE,0.01746944,-5.08057,1023811,50031.0,jade-currency
ANGEL,0.02157782,-4.16772,1022565,66.63,polylauncher
SPDR,0.00431135,-5.35003,1022376,105646.0,spiderdao
BRIGHT,0.060817,-8.36107,1021348,6413.5,bright-union
KART,0.112132,-3.46575,1020582,104300.0,dragon-kart-token
NLIFE,0.711995,-1.40538,1019962,270.09,night-life-crypto
SCORPFIN,1.328e-05,-4.93431,1018327,5211.31,scorpion-finance
ADM,0.00938323,4.30021,1017804,91.98,adamant-messenger
DLTA,0.03667505,-6.57423,1017452,84949.0,delta-theta
UFEWO,0.01012497,-1.07239,1016618,147707.0,unicly-fewocious-collection
OASIS,0.497054,-5.2414,1010160,121265.0,project-oasis
DEFI++,3.05,,1008594,4768.69,piedao-defi
SPICE,0.174621,5.31371,1007560,7248.63,spice-finance
NIL,1.76,-11.58681,1006485,9503.92,nil-dao
SOMEE,0.00958692,-3.88621,1003338,1467.27,somee-social
ALV,0.00277304,1.92198,1000695,23965.0,allive
KRB,0.10665,7.38609,998242,299.06,karbo
SAM,2.46,-2.72128,996981,15761.76,samsunspor-fan-token
FF,1.16,2.39707,996603,259.2,forefront
CVN,0.08019,35.44603,994245,79834.0,cvcoin
PST,0.01937756,-1.06972,993466,1998256.0,primas
PPP,0.01089109,,992023,0.0,paypie
HUNNY,0.01542937,-2.83379,988093,28288.0,pancake-hunny
ZERO,0.00263431,-6.47254,987246,26.34,zero-exchange
CAN,0.00237454,-4.9325,985220,29680.0,channels
ADABOY,1.043e-05,-2.84272,982963,323360.0,adaboy
NUX,0.103581,-1.72603,980176,84020.0,peanut
FYP,0.057942,0.30277,979338,2057.82,flypme
YBO,0.961141,-4.06518,976084,10662.89,young-boys-fan-token
OOGI,0.00016128,-0.16058,975072,244398.0,oogi
TENT,0.02515041,-12.82324,974233,25.24,snowgem
ZCL,0.104435,-0.81876,971191,14535.4,zclassic
DAV,0.00139946,-0.52974,970736,807162.0,dav
META,0.515148,-6.27962,968326,7369.55,metaverse-miner
EGG,0.115005,-0.6645,968163,33933.0,goose-finance
MAGE,0.088788,-1.13635,968045,51914.0,metabrands
SASHIMI,0.00660207,-7.29824,967004,21057.0,sashimi
CGT,0.076466,-0.36019,965297,708.65,curio-governance
DOS,0.00728384,-15.15831,965018,52783.0,dos-network
SAUBER,0.669676,-5.50414,963749,10153.62,alfa-romeo-racing-orlen-fan-token
FLS,0.172387,-5.34962,961573,2146.77,flits
ATH,0.00139636,-6.21214,959810,7064.75,aetherv2
GRAV,0.04043781,-13.55479,957547,67646.0,graviton-zero
EXZO,0.00024085,-1.88988,957422,4123.93,exzocoin
ADMC,4.28e-06,-10.72487,955324,16909.83,adamant-coin
AGF,0.215073,-30.63358,952661,5092.18,augmented-finance
SURF,0.127802,-10.01075,949817,3395.1,surf-finance
URUS,63.66,-5.5258,947871,165299.0,urus-token
HAPPY,1.553e-09,2.79844,943000,78.28,happycoin
QUAI,0.02364528,0.78409,941079,153826.0,quai-dao
CODI,0.0121488,-1.72951,940637,41765.0,codi-finance
WISH,0.098517,,940505,80.78,mywish
MORA,0.342191,5.19929,938293,28709.0,meliora
CSWAP,0.04682229,-3.51489,935627,36899.0,crossswap
DIT,0.00196599,-1.34259,933146,0.196599,inmediate
SAV3,0.04315654,,930160,0.0,sav3
RATING,0.00021139,2.40108,928879,33449.0,dprating
HYPER,2.2e-06,-0.2643,926471,8400.9,hyperchain-x
WINGS,0.01007959,3.39374,922644,28.63,wings
SIGN,0.00120301,0.99428,921784,4077.31,signaturechain
TRIO,0.00034008,-2.61911,921512,42099.0,tripio
SPFC,0.529148,-1.27997,921441,7471.04,sao-paulo-fc-fan-token
SAVG,0.01668224,2.14908,920123,64680.0,savage
WSPP,6.8e-11,-1.21068,918259,58990.0,wolfsafepoorpeople
POLI,0.00676429,-0.01005,916568,9333.08,polinate
AXI,0.02607968,0.0,916516,0.0,axioms
FS,0.01367328,-2.64325,916150,16275.76,fantomstarter
SCIFI,1.71,-5.73452,915336,34583.0,scifi-index
ATL,1.38,-6.41721,912773,5635.06,atlantis-loans
CRWD,0.00775878,,911915,91.28,crowdhero
XIL,0.01523819,-3.27253,910065,17442.28,projectx
UGOTCHI,0.908669,0.0,908669,0.0,unicly-aavegotchi-astronauts-collection
TSX,0.108072,1.21629,908352,11088.18,tradestars
EVED,0.064697,-14.27198,906910,580549.0,evedo
BRY,0.313624,-8.18578,901750,62086.0,berry-data
NFTFY,0.0305451,-3.77297,898638,1926.29,nftfy
LIX,0.386436,2.501,896615,2731.06,lixir-protocol
RNB,0.5078,-3.28285,894322,21127.0,rentible
PULI,0.01424205,23.82083,889479,82024.0,puli-inu
AID,0.01622067,4.1317,889478,0.01028304,aidcoin
ELAND,0.02693183,-6.59623,889196,12924.41,etherland
THC,0.00334994,-0.70255,888514,4.53,hempcoin-thc
YIELD,0.0125692,-6.2163,882390,115152.0,yield-protocol
UCT,0.01929084,-1.56212,881717,282.49,unitedcrowd
FTX,0.01061337,-0.88073,881460,990.71,fintrux
APYS,0.089916,-8.03337,880127,125323.0,apyswap
PXLC,0.0013282,-0.77463,878663,1066.39,pixl-coin-2
CULT,3.46207e-07,-5.14165,877882,108804.0,cult-dao
HAPPY,3.075e-05,-2.42277,876931,3729.31,happyfans
OH,0.02942307,-2.76644,875902,11883.21,oh-finance
ARTH,1.99,-0.7562,875552,4830.42,arth
ADB,0.00098627,7.79464,874830,80210.0,adbank
TECH,0.00656131,-0.36122,871986,16234.65,cryptomeda
PXC,0.01014935,-0.74735,871199,2.54,phoenixcoin
HOLY,12.38,-2.21141,870637,9343.4,holy-trinity
BWI,0.04941469,101.23812,861004,148.24,bitwin24
ZXC,0.0020731,0.49687,858563,107072.0,0xcert
VIPS,1.121e-05,-18.83643,857871,5.66,vipstarcoin
PCHF,0.00133652,-3.39298,857251,7043.19,peachfolio
NFY,9.56,-1.6856,854281,1397.56,non-fungible-yearn
ORK,0.03577677,-1.49887,850782,41757.0,orakuru
ARGO,0.04803727,-1.4803,848208,650.92,argo
DRC,0.058274,-8.78248,846675,17119.21,dracula-token
AIRX,0.00010207,1.47436,844221,33317.0,aircoins
PRARE,0.01669286,-12.48869,843201,34322.0,polkarare
ETM,0.02109029,-3.49542,842783,25843.0,en-tan-mo
CHEEMS,0.00032832,-17.23138,832871,10152.65,cheems
NCT,0.0211787,-2.83405,832425,77307.0,name-changing-token
KANGAL,8.32e-06,-2.91331,832021,256.05,kangal
PCNT,0.03030361,-15.12511,830671,80023.0,playcent
EVE,0.02079939,-2.33187,830580,19739.13,eve-exchange
AUC,0.02337051,-1.08379,829089,1941.0,auctus
MERGE,0.01128016,0.21963,828457,42.62,merge
EBOX,0.02599902,-2.90209,828287,3930.48,ebox
ASP,0.00705783,11.04759,828285,0.070574,aspire
PSLIP,0.04800449,-6.19776,826865,2046.54,pinkslip-finance
SPHERE,1.028,-11.31229,826695,10991.1,cronosphere
XIV,0.02370515,23.80672,824256,500742.0,project-inverse
EARNX,1.80707e-07,0.4468,822347,11.92,earnx
KEYFI,0.32726,-4.98074,820788,13060.91,keyfi
LQT,0.088285,0.08395,818902,18991.17,liquidifty
PHR,0.03072775,1.85282,818722,31542.0,phore
ASIA,0.04262117,-3.49596,814152,11386.62,asia-coin
RAGE,0.00622436,-4.58442,812900,32999.0,rage-fan
MZC,0.00041043,-6.75806,802240,55.23,maza
SPHR,0.064241,-2.0695,802006,29.88,sphere
PYM,0.01355588,-4.30456,801808,28135.0,playermon
NFTS,0.581852,-1.0277,799785,21157.0,nft-stars
HSC,2.141e-05,1.53188,799373,8095.27,hashcoin
KTLYO,0.061355,-0.84933,799076,3857.06,katalyo
CRW,0.02740177,-9.75079,798454,2907.22,crown
SSGT,0.0167839,-3.32219,796506,694.99,safeswap
BLVR,0.04549621,,796184,22.75,believer
NLC2,0.00181627,-12.78747,795230,1707.59,nolimitcoin
DWEB,0.13261,3.4361,792918,12809.87,decentraweb
CW,0.03301449,3.40882,792914,14.87,cardwallet
ASM,1.22,-3.6823,792338,16026.44,as-monaco-fan-token
PIPL,0.00184802,-1.38571,790705,25.31,piplcoin
ORT,0.02701705,0.98954,790398,8288.2,omni-real-estate-token
ISA,0.00146067,-6.4004,788300,168510.0,islander
DSD,0.00577099,1.234,784085,198736.0,dynamic-set-dollar
PET,0.03986371,-4.78223,783913,139213.0,battle-pets
RVRS,0.00082513,-4.88703,783140,2668.97,reverse
PNL,0.071767,1.18964,782838,49109.0,true-pnl
KLP,0.01606838,-2.39918,781350,162216.0,kulupu
ZER,0.070468,-5.11659,780600,17229.86,zero
PGT,45.51,5.48365,779157,133195.0,polyient-games-governance-token
RASKO,0.00416849,-5.49947,775872,5316.1,rasko
COT,4.118e-05,-4.45771,774933,208.05,cotrader
EOSDAC,0.00080215,-5.37018,774063,441.26,eosdac
BPRIVA,0.581885,-2.20171,772056,14391.89,privapp-network
LED,0.00437053,-10.16609,771485,14194.13,ledgerscore
XLA,7.103e-05,-9.79907,771027,438.92,stellite
ADD,0.150023,-1.08449,770382,172.96,add-xyz-new
ECOIN,3.223e-09,0.48943,767988,4275.24,e-coin-finance
MGO,0.00997613,-9.09185,767902,43363.0,mobilego
GST,2.76,1.01382,766927,2429316.0,gst
NIFT,0.067419,-0.60546,765952,38371.0,niftify
L3P,0.00295619,-3.81141,764023,54827.0,lepricon
TRDG,2.3e-11,24.8573,762112,324.76,tardigrades-finance
PAR,0.00121912,-4.54251,760119,102953.0,parachute
YDR,0.00643548,-0.508,759948,12420.72,ydragon
DEFX,0.01904519,-0.37291,756886,46806.0,definity
BXR,0.105139,5.95778,755291,1189.31,blockster
RWS,15067.04,-2.57622,753352,596.17,robonomics-web-services
